OriginFolder,SourceRoot,Files,Bytes,LibraryYearSpan,Methods
D:\Samsung S9+ Backup - Sep 2020\DCIM\Screenshots,D: archive drive,712,383076052,2018-2020,link=712
G:\My Drive\Debugging,Google Drive (personal),14,373541295,2026-NoDate,copy=14
D:\Phone backup Jan 22\Movies\inshot,D: archive drive,9,367546416,2021-2021,link=9
D:\work backup 2016\documents\Audience & Data\Data Sizzle Video,D: archive drive,2,352078794,2016-NoDate,link=2
D:\Pictures\nov-feb 2013-2014\new years,D: archive drive,60,338830708,2013-NoDate,link=60
D:\Samsung S9+ Backup - Sep 2020\DCIM3\100GOPRO,D: archive drive,103,336741603,2016-2019,link=103
D:\Pictures\thailand\10. ko tao,D: archive drive,97,325567699,2008-2012,link=97
D:\work backup 2022\Downloads\Cocktail Masterclass,D: archive drive,50,322041273,2020-2021,link=50
D:\Gdrive backup Jan 22\WhatsApp\Media\WhatsApp Images,D: archive drive,1133,288563659,2017-2022,link=1133
D:\Surface laptop backup Aug 2024\Downloads\dadpics,D: archive drive,258,283465777,2008-NoDate,link=258
takeout-20260905T201853Z-1-001.zip!Takeout\Google Photos\Photos from 2026,Google Photos (Takeout),281,279464103,2026-2026,copy=281
D:\Pictures\thailand\5. krabi,D: archive drive,50,266950357,2012-2012,link=50
D:\Samsung Backup\Card\DCIM\100MEDIA,D: archive drive,217,266630617,2012-2014,link=217
D:\Pictures\nov-feb 2013-2014,D: archive drive,180,263901436,2013-NoDate,link=180
D:\Pictures\thailand\9. ko phanang,D: archive drive,75,258441615,2012-2012,link=75
D:\Pictures\thailand\2. chiang mai,D: archive drive,47,257893547,2012-NoDate,link=47
D:\Backup - Captify laptop Nov 2024\Documents,D: archive drive,1,253575838,2023-2023,link=1
D:\work backup 2016\documents\Programmatic\2016\Sizzle Reel,D: archive drive,3,240363192,2016-NoDate,link=3
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker\v1\Logos\Mindmaker,OneDrive,17,237223276,NoDate-NoDate,copy=17
D:\work backup 2020\Pictures,D: archive drive,78,236358778,2018-NoDate,link=78
D:\Pictures\thailand\4. nong khai\Post-Processed,D: archive drive,32,230512974,2012-2012,link=32
D:\work backup 2020\Documents\AMP Video,D: archive drive,2,216032016,2014-2017,link=2
D:\Pictures\Headshots\image files\printing versions (hi res),D: archive drive,122,194608241,2017-2017,link=122
C:\Users\krish\Downloads,C: system drive,33,194112922,2018-2018,copy=33
D:\work backup 2020\Documents\Zoom\2020-04-30 15.29.17 Linear TV - Take 2  96508537008,D: archive drive,2,191408492,2020-2020,link=2
takeout-20260905T201853Z-1-005.zip!Takeout\Google Photos\Photos from 2024,Google Photos (Takeout),132,188406963,2024-NoDate,copy=132
D:\Pictures\thailand\15. phong na ke bang\Post-Processed,D: archive drive,19,185393804,2012-2012,link=19
takeout-20260905T201853Z-1-001.zip!Takeout\Google Photos\Photos from 2022,Google Photos (Takeout),180,178781409,2022-2023,copy=180
D:\Pictures\thailand\12. mui ne\Post-Processed,D: archive drive,22,175116548,2012-2012,link=22
D:\Gdrive backup Jan 22\WhatsApp\Media\WhatsApp Images\Sent,D: archive drive,1093,170994033,2017-2022,link=1093
D:\Samsung S9+ Backup - Sep 2020\DCIM3\Camera,D: archive drive,22,170676684,2020-2020,link=22
D:\work backup 2022\Downloads,D: archive drive,133,163099822,2021-NoDate,link=133
D:\work backup 2020\Downloads,D: archive drive,128,161262499,2016-NoDate,link=128
D:\Pictures\nov-feb 2013-2014\mumdad,D: archive drive,27,152142279,2013-NoDate,link=27
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\01-style-test,Google Drive (personal),28,150168981,2026-2026,copy=28
D:\work backup 2020\Documents\samsung backup\Pictures\Screenshots,D: archive drive,139,138033274,2016-NoDate,link=139
D:\work backup 2022\Documents\samsung s20 backup juune 2022\Screenshots,D: archive drive,168,136717169,2022-2022,link=168
D:\Pictures\thailand\11. saigon\Post-Processed,D: archive drive,16,136019534,2012-2012,link=16
D:\Pictures\thailand\6. krabi II & koh lanta,D: archive drive,40,135001367,2012-NoDate,link=40
D:\Samsung S9+ Backup - Sep 2020\Pictures\Instagram,D: archive drive,244,132608331,2018-2020,link=244
D:\Backup - Captify laptop Nov 2024\Pictures\Screenshots,D: archive drive,799,102129296,2023-NoDate,link=799
D:\work backup 2016\videos,D: archive drive,1,99479656,NoDate-NoDate,link=1
takeout-20260905T201853Z-1-001.zip!Takeout\Google Photos\Photos from 2023,Google Photos (Takeout),127,98915697,2023-2025,copy=127
D:\Samsung Backup\Phone\Samsung\Video,D: archive drive,1,95970688,NoDate-NoDate,link=1
takeout-20260905T201853Z-1-005.zip!Takeout\Google Photos\Photos from 2022,Google Photos (Takeout),43,92269794,2022-2022,copy=43
takeout-20260905T201853Z-1-006.zip!Takeout\Google Photos\Photos from 2022,Google Photos (Takeout),6,89305495,2022-2022,copy=6
D:\Documents\phone backup\DCIM\100MEDIA,D: archive drive,102,87980431,2011-2012,link=102
D:\Pictures\thailand\13. nah trang,D: archive drive,25,80027930,2012-2012,link=25
D:\Pictures\thailand\1. bangkok,D: archive drive,48,77245480,2012-2012,link=48
D:\work backup 2022\Documents\samsung s20 backup juune 2022\Instagram,D: archive drive,91,76556555,2022-2022,link=91
D:\Surface Laptop Backup July 2025\Downloads,D: archive drive,66,74803532,2023-NoDate,link=66
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\02-growth-film\02-production\growth-film-r01\review,Google Drive (personal),2,73093712,2026-2026,copy=2
C:\Users\krish\OneDrive\Pictures\loz folks,OneDrive,22,72451373,2025-NoDate,copy=22
D:\Captify PC\Pictures,D: archive drive,23,71101454,2008-NoDate,link=23
D:\Phone backup Jan 22\Download,D: archive drive,74,69963867,2013-NoDate,link=74
D:\Pictures\thailand\8. ko phi phi,D: archive drive,20,68086620,2012-2012,link=20
D:\Pictures\thailand\16. hanoi\Post-Processed,D: archive drive,7,67223183,2012-2012,link=7
D:\Pictures\New folder,D: archive drive,12,65959847,2013-2013,link=12
D:\Samsung S9+ Backup - Sep 2020\Download,D: archive drive,107,62060801,2014-NoDate,link=107
D:\Surface Laptop Backup July 2025\Fractionl AI\Brand and Assets,D: archive drive,1,60340298,NoDate-NoDate,link=1
D:\work backup 2016,D: archive drive,10,59773280,2003-NoDate,link=10
D:\work backup 2020\Documents\samsung backup\DCIM\Studio,D: archive drive,38,59087116,2016-2016,link=38
D:\india\1\pictures,D: archive drive,45,58581529,2014-2014,link=45
D:\Pictures\thailand\14. hoi an & hue\Post-Processed,D: archive drive,8,58485644,2012-2012,link=8
G:\My Drive\Ventures\Active\Mindmaker\04_Content\mindmake-films-delivery-2026-08-28,Google Drive (personal),25,56681004,2026-2026,copy=25
D:\Phone backup Jan 22\DCIM\Wedding,D: archive drive,13,51506815,2017-2017,link=13
D:\Pictures\thailand\7. krabi III\.picasaoriginals,D: archive drive,12,51387998,2012-2012,link=12
C:\Users\krish\OneDrive\Pictures\Samsung Gallery\DCIM\NY Apartment,OneDrive,8,50919425,2025-2025,copy=8
D:\Pictures\thailand\17. siem reap\Post-Processed,D: archive drive,7,48918070,2012-2012,link=7
D:\work backup 2020\Documents\samsung backup\DCIM\Screenshots,D: archive drive,33,47532696,2018-2018,link=33
D:\Pictures\thailand\19. phnom penh\Post-Processed,D: archive drive,6,44494020,2012-2012,link=6
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\02-growth-film\01-storyboard\growth-storyboard-r01\keyframes,Google Drive (personal),20,43877732,2026-2026,copy=20
D:\work backup 2016\documents\Old Documents,D: archive drive,42,43367880,2010-NoDate,link=42
D:\work backup 2016\documents\Programmatic\2015,D: archive drive,1,43289533,NoDate-NoDate,link=1
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\01-style-test\quiet-workshop-role-render-r01\raw,Google Drive (personal),5,42911727,2026-2026,copy=5
D:\Pictures\thailand\3. pai,D: archive drive,12,40996928,2012-2012,link=12
D:\Pictures\thailand\2. chiang mai\extras,D: archive drive,19,39554318,2012-2012,link=19
D:\Pictures\thailand\13. nah trang\Post-Processed,D: archive drive,8,39488579,2012-2012,link=8
D:\work backup 2020\Documents\Adobe\Premiere Pro\14.0,D: archive drive,1,38666564,2020-2020,link=1
takeout-20260905T201853Z-1-005.zip!Takeout\Google Photos\Photos from 2023,Google Photos (Takeout),70,37637933,2023-2023,copy=70
D:\Pictures\New folder\Post-Processed\.picasaoriginals,D: archive drive,4,35831698,2013-2013,link=4
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\02-growth-film\02-production\growth-film-r01\act-04-prepared-conversations\raw-clips,Google Drive (personal),4,35649125,2026-2026,copy=4
D:\Documents\thailand pics blog,D: archive drive,6,33166335,2008-2012,link=6
D:\Backup - Captify laptop Nov 2024\Downloads,D: archive drive,26,33119135,2024-NoDate,link=26
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\02-growth-film\02-production\growth-film-r01\act-01-situation\raw-clips,Google Drive (personal),4,32962647,2026-2026,copy=4
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\02-growth-film\02-production\growth-film-r01\act-03-qualification\raw-clips,Google Drive (personal),4,32536036,2026-2026,copy=4
G:\My Drive\Ventures\Active\Mindmaker\04_Content\mindmake-films-delivery-2026-08-28\film-05-higgsfield-sources,Google Drive (personal),8,32524813,2026-2026,copy=8
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker\upgrades\qa-shots,OneDrive,39,31685032,NoDate-NoDate,copy=39
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\02-growth-film\02-production\growth-film-r01\act-02-provenance\raw-clips,Google Drive (personal),4,31409737,2026-2026,copy=4
D:\work backup 2020\Documents\samsung backup\Pictures\ExpenseIt,D: archive drive,9,30849267,2018-2018,link=9
D:\Phone backup Jan 22\inshot,D: archive drive,2,30006818,2018-2018,link=2
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\02-growth-film\02-production\growth-film-r01\act-05-authority\raw-clips,Google Drive (personal),4,29056200,2026-2026,copy=4
C:\Users\krish\OneDrive\Documents\1 Home & Personal\PersonalAdmin\14_spouse_e3_details,OneDrive,3,28988840,2026-NoDate,copy=3
D:\Pictures\New folder\Post-Processed,D: archive drive,4,28613891,2013-2013,link=4
D:\work backup 2020\Documents,D: archive drive,22,28271077,2020-NoDate,link=22
D:\Pictures\thailand\8. ko phi phi\.picasaoriginals,D: archive drive,8,27923473,2012-2012,link=8
G:\My Drive\Old Computer\2023-01-18,Google Drive (personal),131,27858297,2023-2023,copy=131
D:\Surface Laptop Backup July 2025\AdFixus,D: archive drive,14,27299751,NoDate-NoDate,link=14
C:\Users\krish\OneDrive\Documents\1 Home & Personal\Media,OneDrive,5,26971487,2026-2026,copy=5
D:\work backup 2020\Documents\samsung backup\DCIM\Video Editor,D: archive drive,1,26616278,2018-2018,link=1
C:\Users\krish\Downloads\03_autonomous_business,C: system drive,59,26554964,?,copy=59
D:\Samsung S9+ Backup - Sep 2020\Pictures\ExpenseIt,D: archive drive,15,26518488,2018-2018,link=15
C:\Users\krish\OneDrive\Pictures\_NeedsManualMove,OneDrive,1,25916179,2025-2025,copy=1
D:\Samsung S9+ Backup - Sep 2020\Pictures\Messenger,D: archive drive,32,25227461,2019-NoDate,link=32
D:\Documents,D: archive drive,9,24780830,2011-NoDate,link=9
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\02-growth-film\01-storyboard\growth-20s-consequence-animatic-r01\keyframes,Google Drive (personal),12,24466186,2026-2026,copy=12
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\01-style-test\quiet-workshop-role-animatic-r01\frames,Google Drive (personal),80,24450059,2026-2026,copy=80
D:\work backup 2022\Documents\samsung s20 backup juune 2022\Download,D: archive drive,23,23870652,2006-NoDate,link=23
G:\My Drive\Old Computer\Camera Roll,Google Drive (personal),29,22764415,2016-2018,copy=29
G:\My Drive\Ventures\_Archive\AdFixus\05_Assets,Google Drive (personal),1,22571689,2026-2026,copy=1
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\01-style-test\quiet-workshop-role-render-r01,Google Drive (personal),1,21905182,2026-2026,copy=1
C:\Users\krish\OneDrive\Pictures\0 Ventures\_Other\Legacy-Life-Coaching\Steph Logos\2. CMYK (Print)\Sun\PNG,OneDrive,36,21276588,NoDate-NoDate,copy=36
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker\03_Sales-Outreach,OneDrive,1,21123201,2026-2026,copy=1
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker-OS\05_Assets,OneDrive,1,21032119,NoDate-NoDate,copy=1
D:\Phone backup Jan 22\Download\iCloud Photos from Mick Evans\iCloud Photos from Mick Evans,D: archive drive,13,20923619,2021-2021,link=13
C:\Users\krish\cc-uxtest\shots,C: system drive,64,20440077,?,copy=64
D:\Phone backup Jan 22\Pictures,D: archive drive,101,20297286,2017-NoDate,link=101
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\01-style-test\quiet-workshop-role-animatic-r02-24fps,Google Drive (personal),2,20275516,2026-2026,copy=2
D:\Samsung Backup\Phone\WhatsApp\Media\WhatsApp Images,D: archive drive,172,20009048,2014-2014,link=172
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\01-style-test\quiet-workshop-role-animatic-r02-24fps\segments,Google Drive (personal),24,19902400,2026-2026,copy=24
C:\Users\krish\Downloads\04_ai_economics,C: system drive,39,19818627,?,copy=39
D:\work backup 2020\Documents\Zoom\2020-04-16 11.01.26 Krish Raja's Zoom Meeting 91618613410,D: archive drive,2,19605280,2020-2020,link=2
C:\Users\krish\OneDrive\Videos\Clipchamp\Video Project 6\Exports,OneDrive,1,19516134,NoDate-NoDate,copy=1
D:\work backup 2020\Documents\samsung backup\Movies\Instagram,D: archive drive,7,19132156,2018-NoDate,link=7
G:\My Drive\Debugging\IDENTITY-DOC-4,Google Drive (personal),9,18896709,2026-NoDate,copy=9
D:\work backup 2016\documents\T&E\June 2016,D: archive drive,15,18666458,2016-2016,link=15
D:\Pictures\Headshots\image files\email web versions (lo res),D: archive drive,122,18641172,2017-2017,link=122
D:\work backup 2020\Documents\Zoom\2020-04-16 17.58.41 Krish Raja's Zoom Meeting 91361146968,D: archive drive,1,18260751,2020-2020,link=1
D:\Phone backup Jan 22\Pictures\Hangouts,D: archive drive,6,18214245,2017-2018,link=6
D:\work backup 2022\Downloads\FINANCE-DOC-2 2,D: archive drive,7,17959401,2022-2022,link=7
C:\Users\krish\OneDrive\Pictures\0 Ventures\_Other\Legacy-Life-Coaching\Steph Logos\3. RGB (Digital)\Sun\PNG,OneDrive,30,17786766,NoDate-NoDate,copy=30
D:\Phone backup Jan 22\DCIM\Xmas,D: archive drive,4,17727326,2017-2017,link=4
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\02-growth-film\02-production\growth-film-r01\act-01-situation\review,Google Drive (personal),3,17712967,2026-2026,copy=3
C:\Users\krish\OneDrive\Pictures\0 Ventures\_Other\Legacy-Life-Coaching\Steph Logos\3. RGB (Digital)\Arch\PNG,OneDrive,19,17470537,NoDate-NoDate,copy=19
C:\Users\krish\ctrl-corpus\chronicle-shots\prototypes,C: system drive,18,17125247,?,copy=18
takeout-20260905T201853Z-1-001.zip!Takeout\Google Photos\Engagement Vid - Choronology,Google Photos (Takeout),9,17110069,2024-NoDate,copy=9
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\02-growth-film\02-production\growth-film-r01\act-04-prepared-conversations\review,Google Drive (personal),2,16973621,2026-2026,copy=2
C:\Users\krish\OneDrive\Documents\1 Home & Personal\PersonalAdmin\08_certified_LCA_2024,OneDrive,6,16825627,NoDate-NoDate,copy=6
D:\work backup 2016\documents\T&E\August 2016,D: archive drive,11,16781943,2016-2016,link=11
C:\Users\krish\Downloads\02_vibe_coding,C: system drive,40,16349336,?,copy=40
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\02-growth-film\02-production\growth-film-r01\act-03-qualification\review,Google Drive (personal),2,16303195,2026-2026,copy=2
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker\Repo\thebuildereconomy\thebuildereconomy\src\assets,OneDrive,3,16288247,NoDate-NoDate,copy=3
takeout-20260905T201853Z-1-001.zip!Takeout\Google Photos\loz Krish ,Google Photos (Takeout),2,16255596,2026-2026,copy=2
D:\Phone backup Jan 22\Pictures\eBay,D: archive drive,3,16219924,2021-2021,link=3
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\02-growth-film\01-storyboard\explanatory-concept-divergence-r01\candidates,Google Drive (personal),6,15844154,2026-2026,copy=6
D:\work backup 2020\Documents\Zoom\2020-04-16 17.43.40 Krish Raja's Zoom Meeting 91361146968,D: archive drive,1,15804147,2020-2020,link=1
D:\Pictures\thailand\6. krabi II & koh lanta\Post-Processed,D: archive drive,3,15656120,2012-2012,link=3
D:\work backup 2016\documents\T&E,D: archive drive,17,15533299,2015-NoDate,link=17
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\02-growth-film\02-production\growth-film-r01\act-02-provenance\review,Google Drive (personal),2,15352098,2026-2026,copy=2
C:\Users\krish\Downloads\01_agentic_org_chart,C: system drive,38,14798606,?,copy=38
D:\work backup 2020\Documents\samsung backup\Download,D: archive drive,20,14669585,2017-NoDate,link=20
G:\My Drive\Old Computer\PERSON-A phone upto dec,Google Drive (personal),18,14169968,2018-NoDate,copy=18
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\02-growth-film\01-storyboard\growth-20s-consequence-animatic-r01\review,Google Drive (personal),3,14084235,2026-2026,copy=3
D:\work backup 2020\Pictures\Masterchef,D: archive drive,27,13940552,2018-2018,link=27
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\01-style-test\quiet-workshop-role-animatic-r01,Google Drive (personal),3,13797672,2026-2026,copy=3
G:\My Drive\Old Computer\PERSON-B phone jan2020,Google Drive (personal),15,13790865,2019-2019,copy=15
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\02-growth-film\02-production\growth-film-r01\act-05-authority\review,Google Drive (personal),2,13545604,2026-2026,copy=2
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\01-style-test\quiet-workshop-role-animatic-r01\sheets,Google Drive (personal),6,13478359,2026-2026,copy=6
D:\Pictures\nov-feb 2013-2014\.picasaoriginals,D: archive drive,3,13386671,2014-2014,link=3
D:\Pictures\thailand\3. pai\Post-Processed,D: archive drive,12,12939192,2012-2012,link=12
C:\Users\krish\OneDrive\Pictures\3 Content-Visuals,OneDrive,6,12339774,NoDate-NoDate,copy=6
C:\Users\krish\OneDrive\Videos\Clipchamp\Video Project\Exports,OneDrive,1,12316474,NoDate-NoDate,copy=1
